,,Value,Value
,,sum,count
Item,Year,,
Cashew nuts in shell,2013,3335.0,2
Cashew nuts in shell,2014,3333.0,2
Cashew nuts in shell,2015,3121.0,2
Cashew nuts in shell,2016,3220.51,2
Cashew nuts in shell,2017,3851.0,2
Cashew nuts in shell,2018,3237.19,2
Cashew nuts in shell,2019,2225.41,2
Cashew nuts in shell,2020,4280.030000000001,2
Cashew nuts in shell,2021,4372.34,2
Cassava fresh,2012,1210914.03,2
Cassava fresh,2013,1282548.0,2
Cassava fresh,2014,1293868.0,2
Cassava fresh,2015,1331489.0,2
Cassava fresh,2016,1280064.0,2
Cassava fresh,2017,1294481.0,2
Cassava fresh,2018,1344208.6,2
Cassava fresh,2019,1380481.45,2
Cassava fresh,2020,1451676.6,2
Cassava fresh,2021,1386076.25,2
Castor oil seeds,2012,0.0,2
Castor oil seeds,2013,0.0,2
Castor oil seeds,2014,0.0,2
Castor oil seeds,2015,0.0,2
Castor oil seeds,2016,0.0,2
Castor oil seeds,2017,0.0,2
Castor oil seeds,2018,0.0,2
Castor oil seeds,2019,0.0,2
Castor oil seeds,2020,0.0,2
Castor oil seeds,2021,0.0,2
Cauliflowers and broccoli,2012,19698.26,2
Cauliflowers and broccoli,2013,22680.01,2
Cauliflowers and broccoli,2014,18902.93,2
Cauliflowers and broccoli,2015,21120.0,2
Cauliflowers and broccoli,2016,80157.0,2
Cauliflowers and broccoli,2017,75476.0,2
Cauliflowers and broccoli,2018,77762.15,2
Cauliflowers and broccoli,2019,80569.0,2
Cauliflowers and broccoli,2020,70644.23,2
Cauliflowers and broccoli,2021,65236.15,2
Cereals n.e.c.,2012,16551.35,2
Cereals n.e.c.,2013,16663.38,2
Cereals n.e.c.,2014,16947.81,2
Cereals n.e.c.,2015,17143.57,2
Cereals n.e.c.,2016,17234.66,2
Cereals n.e.c.,2017,17320.42,2
Cereals n.e.c.,2018,17455.010000000002,2
Cereals n.e.c.,2019,17280.0,2
Cereals n.e.c.,2020,17374.83,2
Cereals n.e.c.,2021,17426.54,2
Cherries,2012,14.28,2
Cherries,2013,7.17,2
Cherries,2014,4.4,2
Cherries,2015,5.0,2
Cherries,2016,5.0,2
Cherries,2017,4.0,2
Cherries,2018,5.0,2
Cherries,2019,4.0,2
Cherries,2020,3.92,2
Cherries,2021,4.09,2
Chestnuts in shell,2012,816.83,2
Chestnuts in shell,2013,767.35,2
Chestnuts in shell,2014,744.12,2
Chestnuts in shell,2015,775.45,2
Chestnuts in shell,2016,741.17,2
Chestnuts in shell,2017,753.58,2
Chestnuts in shell,2018,757.07,2
Chestnuts in shell,2019,749.94,2
Chestnuts in shell,2020,753.19,2
Chestnuts in shell,2021,754.07,2
Chick peas dry,2012,5205.41,2
Chick peas dry,2013,5746.0,2
Chick peas dry,2014,2980.69,2
Chick peas dry,2015,4045.0,2
Chick peas dry,2016,927.72,2
Chick peas dry,2017,1823.0,2
Chick peas dry,2018,2202.27,2
Chick peas dry,2019,1371.56,2
Chick peas dry,2020,964.44,2
Chick peas dry,2021,874.2,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2012,54114.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2013,41264.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2014,39341.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2015,25003.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2016,36498.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2017,28526.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2018,30661.58,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2019,41449.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2020,44164.0,2
Chillies and peppers dry (Capsicum spp. Pimenta spp.) raw,2021,42392.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2012,144715.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2013,135053.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2014,136451.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2015,127078.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2016,139909.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2017,162871.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2018,186879.96,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2019,193067.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2020,186061.0,2
Chillies and peppers green (Capsicum spp. and Pimenta spp.),2021,222288.0,2
Cocoa beans,2012,146490.58000000002,2
Cocoa beans,2013,168833.41,2
Cocoa beans,2014,188286.0,2
Cocoa beans,2015,212966.0,2
Cocoa beans,2016,233501.51,2
Cocoa beans,2017,269118.0,2
Cocoa beans,2018,295094.74,2
Cocoa beans,2019,311792.25,2
Cocoa beans,2020,336617.57999999996,2
Cocoa beans,2021,345064.69,2
Coconuts in shell,2012,36009.0,2
Coconuts in shell,2013,35176.0,2
Coconuts in shell,2014,37389.0,2
Coconuts in shell,2015,36546.0,2
Coconuts in shell,2016,34698.0,2
Coconuts in shell,2017,35037.0,2
Coconuts in shell,2018,35305.91,2
Coconuts in shell,2019,37059.3,2
Coconuts in shell,2020,38910.63,2
Coconuts in shell,2021,40980.47,2
Coffee green,2012,690795.56,2
Coffee green,2013,655764.4299999999,2
Coffee green,2014,583718.0,2
Coffee green,2015,631125.0,2
Coffee green,2016,661733.4,2
Coffee green,2017,761459.0,2
Coffee green,2018,802030.99,2
Coffee green,2019,801496.5900000001,2
Coffee green,2020,784025.74,2
Coffee green,2021,820299.14,2
Cow peas dry,2012,63011.0,2
Cow peas dry,2013,34280.0,2
Cow peas dry,2014,30366.53,2
Cow peas dry,2015,35729.0,2
Cow peas dry,2016,41512.33,2
Cow peas dry,2017,38253.0,2
Cow peas dry,2018,25745.47,2
Cow peas dry,2019,37332.07,2
Cow peas dry,2020,28462.29,2
Cow peas dry,2021,42281.380000000005,2
Cucumbers and gherkins,2012,45278.0,2
Cucumbers and gherkins,2013,49049.0,2
Cucumbers and gherkins,2014,49851.0,2
Cucumbers and gherkins,2015,52380.0,2
Cucumbers and gherkins,2016,58902.77,2
Cucumbers and gherkins,2017,50302.0,2
Cucumbers and gherkins,2018,46700.79,2
Cucumbers and gherkins,2019,47634.0,2
Cucumbers and gherkins,2020,54657.66,2
Cucumbers and gherkins,2021,57693.39,2
Dates,2012,272.5,2
Dates,2013,335.4,2
Dates,2014,277.45,2
Dates,2015,263.0,2
Dates,2016,302.40999999999997,2
Dates,2017,309.0,2
Dates,2018,415.0,2
Dates,2019,507.95,2
Dates,2020,530.6700000000001,2
Dates,2021,523.6,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2012,301626.19,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2013,323900.03,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2014,323389.07,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2015,315092.17,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2016,313645.75,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2017,311715.96,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2018,312367.3,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2019,313752.73,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2020,314575.12,2
Edible roots and tubers with high starch or inulin content n.e.c. fresh,2021,315479.52,2
Eggplants (aubergines),2012,383.0,2
Eggplants (aubergines),2013,298.1,2
Eggplants (aubergines),2014,346.0,2
Eggplants (aubergines),2015,468.0,2
Eggplants (aubergines),2016,391.0,2
Eggplants (aubergines),2017,281.0,2
Eggplants (aubergines),2018,514.0,2
Eggplants (aubergines),2019,385.0,2
Eggplants (aubergines),2020,458.5,2
Eggplants (aubergines),2021,528.5,2
Figs,2012,3571.15,2
Figs,2013,3649.0,2
Figs,2014,3203.0,2
Figs,2015,3111.0,2
Figs,2016,3198.34,2
Figs,2017,3283.0,2
Figs,2018,3538.5,2
Figs,2019,3626.71,2
Figs,2020,3508.52,2
Figs,2021,3322.42,2
Ginger raw,2012,2410.0,2
Ginger raw,2013,4280.0,2
Ginger raw,2014,14616.0,2
Ginger raw,2015,12653.0,2
Ginger raw,2016,17126.0,2
Ginger raw,2017,30814.0,2
Ginger raw,2018,24611.0,2
Ginger raw,2019,38631.64,2
Ginger raw,2020,55358.0,2
Ginger raw,2021,54218.98,2
Grapes,2012,381352.87,2
Grapes,2013,460007.6,2
Grapes,2014,530685.0,2
Grapes,2015,624589.0,2
Grapes,2016,717903.31,2
Grapes,2017,674789.0,2
Grapes,2018,678088.06,2
Grapes,2019,673052.93,2
Grapes,2020,768634.46,2
Grapes,2021,861453.79,2
Green corn (maize),2012,404982.0,2
Green corn (maize),2013,445463.0,2
Green corn (maize),2014,448867.0,2
Green corn (maize),2015,441416.0,2
Green corn (maize),2016,443142.0,2
Green corn (maize),2017,428888.0,2
Green corn (maize),2018,483626.68,2
Green corn (maize),2019,460949.42,2
Green corn (maize),2020,457357.18,2
Green corn (maize),2021,493850.54,2
Green garlic,2012,89821.95,2
Green garlic,2013,89144.32,2
Green garlic,2014,89078.0,2
Green garlic,2015,98221.0,2
Green garlic,2016,85904.39,2
Green garlic,2017,103677.0,2
Green garlic,2018,114564.74,2
Green garlic,2019,90849.13,2
Green garlic,2020,98489.34,2
Green garlic,2021,120077.21,2
Groundnuts excluding shelled,2012,9841.0,2
Groundnuts excluding shelled,2013,10457.0,2
Groundnuts excluding shelled,2014,10005.0,2
Groundnuts excluding shelled,2015,9582.0,2
Groundnuts excluding shelled,2016,11065.939999999999,2
Groundnuts excluding shelled,2017,9784.0,2
Groundnuts excluding shelled,2018,9440.18,2
Groundnuts excluding shelled,2019,8915.0,2
Groundnuts excluding shelled,2020,7644.0,2
Groundnuts excluding shelled,2021,8499.0,2
Jute raw or retted,2012,470.0,2
Jute raw or retted,2013,470.0,2
Jute raw or retted,2014,428.15,2
Jute raw or retted,2015,419.0,2
Jute raw or retted,2016,439.05,2
Jute raw or retted,2017,426.73,2
Jute raw or retted,2018,420.59,2
Jute raw or retted,2019,424.12,2
Jute raw or retted,2020,422.48,2
Jute raw or retted,2021,424.07,2
Leeks and other alliaceous vegetables,2012,20139.23,2
Leeks and other alliaceous vegetables,2013,19181.52,2
Leeks and other alliaceous vegetables,2014,20860.0,2
Leeks and other alliaceous vegetables,2015,24440.0,2
Leeks and other alliaceous vegetables,2016,23369.0,2
